Product_Name,Supermarket_Category
Hafer Kleie,Backwaren
Gerste Graupen,Backwaren
Gerste Schrot,Backwaren
Gerste Grütze,Backwaren
Gerste Flocken,Backwaren
Gerste Grieß,Backwaren
Mais Stärke,Gewürze & Backzutaten
Reis Mehl,Trockensortiment & Konserven
Reis unpoliert,Trockensortiment & Konserven
Mais Grieß,Backwaren
Mais Grütze,Backwaren
Eierteigwaren,Trockensortiment & Konserven
Wald-Erdbeere,Obst & Gemüse
Loganbeere,Obst & Gemüse
Brombeere,Obst & Gemüse
Moltebeere,Obst & Gemüse
Johannisbeere rot,Obst & Gemüse
Boysenbeere,Obst & Gemüse
Heidelbeere,Obst & Gemüse
Wald-Himbeere,Obst & Gemüse
Pfefferschote grün,Gewürze & Backzutaten
Gemüsepaprika gelb,Obst & Gemüse
Pfefferschote rot,Gewürze & Backzutaten
Mungbohnensprossen Mungbohnenkeimlinge,Backwaren
Sojabohnensprossen Sojabohnenkeimlinge,Kühlregal (Vegan & Käse)
Feta,Kühlregal (Molkerei)
Edelpilzkäse,Kühlregal (Molkerei)
Süßmolkenpulver,Kühlregal (Molkerei)
Fruchtwein,Bier & Wein
Most,Bier & Wein
Whisky Whiskey,Bier & Wein
Arrak,Bier & Wein
Agavenbrand,Bier & Wein
Brand,Bier & Wein
Calvados,Bier & Wein
Spirituosen,Bier & Wein
Obstgeist,Bier & Wein
Honigtauhonig,Süßwaren & Snacks
Sardine,Fisch & Wurstwaren
Schillerlocken,Fisch & Wurstwaren
Goldbutt Scholle,Fisch & Wurstwaren
Schwarzer Heilbutt,Fisch & Wurstwaren
Katfisch Steinbeißer,Fisch & Wurstwaren
Schleie,Fisch & Wurstwaren
Wels,Fisch & Wurstwaren
Pangasius Schlankwels,Fisch & Wurstwaren
Zander,Fisch & Wurstwaren
Meeräsche,Fisch & Wurstwaren
Schafskopf,Fisch & Wurstwaren
Edelkrebs Flusskrebs,Fisch & Wurstwaren
Languste,Fisch & Wurstwaren
Große Sandklaffmuschel,Fisch & Wurstwaren
Venusmuschel,Fisch & Wurstwaren
Pilgermuschel Jakobsmuschel,Fisch & Wurstwaren
Schwein Rückenspeck,Fleischtheke
Schwein Speck,Fleischtheke
Schaf Kochfleisch,Fleischtheke
Hammel Brust,Fleischtheke
Lamm Brust,Fleischtheke
Lamm Bug Schulter,Fleischtheke
Schaf Gulasch,Fleischtheke
Schaf Bratenfleisch,Fleischtheke
Schaf Keule,Fleischtheke
Schaf Vorderhaxe,Fleischtheke
Wildkaninchen Fleisch,Fleischtheke
Hafer Grieß,Backwaren
Wildreis,Trockensortiment & Konserven
Glasnudeln,Trockensortiment & Konserven
Weizen Stärke,Gewürze & Backzutaten
Kartoffelstärke,Gewürze & Backzutaten
Reis Stärke,Trockensortiment & Konserven
Reis Grieß,Trockensortiment & Konserven
Reisnudeln,Trockensortiment & Konserven
Eierteigwaren Tortellini getrocknet,Trockensortiment & Konserven
Eierteigwaren Tortelloni getrocknet,Trockensortiment & Konserven
Wald-Brombeere,Obst & Gemüse
Moosbeere,Obst & Gemüse
Preiselbeere,Trockensortiment & Konserven
Johannisbeere weiß,Obst & Gemüse
Johannisbeere schwarz,Obst & Gemüse
Salzlakenkäse,Kühlregal (Molkerei)
Danablu,Kühlregal (Molkerei)
Getreidebrand,Bier & Wein
Weinbrand Brandy,Bier & Wein
Gin,Bier & Wein
Stint,Fisch & Wurstwaren
Sardelle,Fisch & Wurstwaren
Seeteufel,Fisch & Wurstwaren
Flunder,Fisch & Wurstwaren
Meerbarbe,Fisch & Wurstwaren
Tintenfisch,Fisch & Wurstwaren
Schwein Speck Rückenspeck,Fleischtheke
Hammel Bug Schulter,Fleischtheke
Ziege Fleisch,Fleischtheke
Schaf Schnitzel,Fleischtheke
Schlehe,Obst & Gemüse
Holunderbeere,Obst & Gemüse
Tapioka Tapiokastärke,Gewürze & Backzutaten
Kartoffelpüree Instantpulver,Obst & Gemüse
Pfeilwurzelmehl Marantastärke,Gewürze & Backzutaten
Cognac,Bier & Wein
Schnecken,Fleischtheke
Hammel Keule,Fleischtheke
Kartoffelkloß Trockenprodukt,Obst & Gemüse
Roggenvollkornbrot,Backwaren
Roggenmischbrot,Backwaren
Weizenbrot Weißbrot,Backwaren
Weizenbrötchen,Backwaren
Weizen Keim,Backwaren
Quinoa weiß,Backwaren
Weizen Vollkornmehl,Gewürze & Backzutaten
Weizen Backschrot,Backwaren
Weizen Mehl,Gewürze & Backzutaten
Weizen Kleie,Backwaren
Roggen Mehl,Gewürze & Backzutaten
Dinkel Vollkornmehl,Gewürze & Backzutaten
Buchweizen,Backwaren
Hirse,Backwaren
Cornflakes gesüßt,Süßwaren & Snacks
Cornflakes,Süßwaren & Snacks
Reiswaffeln ungesalzen,Trockensortiment & Konserven
Maiswaffeln,Gewürze & Backzutaten
Cerealien extrudiert,Backwaren
Weizenpops Weizen gepufft,Backwaren
Cerealien,Backwaren
Reisdrink,Trockensortiment & Konserven
Haferdrink,Backwaren
Zwieback eifrei,Backwaren
Erdnuss geröstet,Backwaren
Salzbrezeln Salzstangen,Süßwaren & Snacks
Butterkekse Butterplätzchen,Backwaren
Hühnerei,Kühlregal (Molkerei)
Hühnerei Pulver,Kühlregal (Molkerei)
Hühnerei Eigelb,Kühlregal (Molkerei)
Hühnerei Eiklar,Kühlregal (Molkerei)
Rhabarber,Obst & Gemüse
Apfel,Obst & Gemüse
Apfel getrocknet,Obst & Gemüse
Aprikose,Obst & Gemüse
Aprikose getrocknet,Obst & Gemüse
Pfirsich,Trockensortiment & Konserven
Sauerkirsche,Trockensortiment & Konserven
Pflaume getrocknet,Obst & Gemüse
Hagebutte,Obst & Gemüse
Sanddornbeere,Obst & Gemüse
Cranberries getrocknet,Obst & Gemüse
Ananas,Trockensortiment & Konserven
Avocado,Obst & Gemüse
Banane,Obst & Gemüse
Dattel getrocknet,Obst & Gemüse
Feige,Obst & Gemüse
Feige getrocknet,Obst & Gemüse
Granatapfel,Obst & Gemüse
Kaki,Obst & Gemüse
Maracuja Passionsfrucht,Obst & Gemüse
Acerola,Obst & Gemüse
Kiwi,Obst & Gemüse
Litschi,Obst & Gemüse
Mango,Obst & Gemüse
Papaya,Obst & Gemüse
Brotfrucht,Backwaren
Netzmelone Cantaloupmelone,Obst & Gemüse
Jackfrucht,Obst & Gemüse
Karambole Sternfrucht,Obst & Gemüse
Kaktusfeige,Obst & Gemüse
Feijoa Ananas-Guave,Obst & Gemüse
Orangensaft,Obst & Gemüse
Mandarine,Trockensortiment & Konserven
Bananenchips frittiert,Süßwaren & Snacks
Basilikum,Obst & Gemüse
Schnittlauch,Obst & Gemüse
Schnittlauch getrocknet,Obst & Gemüse
Feldsalat Rapunzel,Obst & Gemüse
Kopfsalat,Obst & Gemüse
Radicchio,Obst & Gemüse
Römischer Salat Romanasalat,Obst & Gemüse
Spinat,Obst & Gemüse
Petersilienblatt getrocknet,Obst & Gemüse
Brennnessel,Obst & Gemüse
Löwenzahn,Obst & Gemüse
Sauerampfer,Obst & Gemüse
Gartenkresse,Obst & Gemüse
Blumenkohl,Obst & Gemüse
Broccoli,Obst & Gemüse
Rotkohl,Obst & Gemüse
Rotkohlgemüse,Trockensortiment & Konserven
Weißkohl,Obst & Gemüse
Sauerkraut,Trockensortiment & Konserven
Fenchelblatt Bologneser Fenchel,Obst & Gemüse
Spargel,Obst & Gemüse
Porree Lauch,Obst & Gemüse
Okra,Obst & Gemüse
Tomate,Obst & Gemüse
Zuckermais,Obst & Gemüse
Kürbis Pumpkin,Obst & Gemüse
Zucchini,Obst & Gemüse
Karotte Möhre,Obst & Gemüse
Salzgurke Salzdillgurke,Kühlregal (Molkerei)
Nori-Blatt geröstet,Obst & Gemüse
Sojalecithin,Kühlregal (Vegan & Käse)
Erdnussbutter Erdnusscreme,Backwaren
Haselnuss,Backwaren
Kokos Fruchtfleisch,Backwaren
Kokoswasser,Backwaren
Cashewkern,Backwaren
Paranuss,Backwaren
Edelkastanie Marone,Backwaren
Pistazie geröstet,Backwaren
Kürbiskern,Backwaren
Gartenbohne reif,Backwaren
Sojaschnetzel Sojagranulat,Kühlregal (Vegan & Käse)
Mungbohne reif,Backwaren
Mandeldrink,Backwaren
Dessert Puddingalternative,Backwaren
Soja-Joghurtalternative,Kühlregal (Vegan & Käse)
Sojakochcreme,Kühlregal (Vegan & Käse)
Miso Sojabohnenpaste,Kühlregal (Vegan & Käse)
Sonnenblumenkernaufstrich,Backwaren
Vegetarische Bratwurst,Kühlregal (Vegan & Käse)
Veganes Schnitzel,Kühlregal (Vegan & Käse)
Veganer Aufschnitt,Kühlregal (Vegan & Käse)
Vegetarischer Aufschnitt,Kühlregal (Vegan & Käse)
Kartoffel geschält,Obst & Gemüse
Kartoffelchips Stapelchips,Süßwaren & Snacks
Maniok Cassava,Obst & Gemüse
Batate Süßkartoffel,Obst & Gemüse
Topinambur Erdartischocke,Obst & Gemüse
Yamswurzel,Obst & Gemüse
Champignon,Obst & Gemüse
Morchel,Obst & Gemüse
Pfifferling,Obst & Gemüse
Shiitakepilz,Obst & Gemüse
Austernpilz,Obst & Gemüse
Vegetarische Pastete,Backwaren
Milch fettarm,Kühlregal (Molkerei)
Vollmilch frisch,Kühlregal (Molkerei)
Rohmilch Vorzugsmilch,Kühlregal (Molkerei)
H-Milch fettarm,Kühlregal (Molkerei)
H-Vollmilch,Kühlregal (Molkerei)
Joghurt mild,Kühlregal (Molkerei)
Schlagsahne,Kühlregal (Molkerei)
Kondensmagermilch max.,Kühlregal (Molkerei)
Kondensmilch,Kühlregal (Molkerei)
Emmentaler,Kühlregal (Molkerei)
Schnittkäse,Kühlregal (Molkerei)
Gouda .,Kühlregal (Molkerei)
Schnittkäse halbfest,Kühlregal (Molkerei)
Brie,Kühlregal (Molkerei)
Camembert,Kühlregal (Molkerei)
Limburger,Kühlregal (Molkerei)
Weichkäse,Kühlregal (Molkerei)
Frischkäsezubereitung Natur,Kühlregal (Molkerei)
Speisequark Magerstufe,Kühlregal (Molkerei)
Frischkäse,Kühlregal (Molkerei)
Schmelzkäsezubereitung - .,Kühlregal (Molkerei)
Frischkäsezubereitung,Kühlregal (Molkerei)
Eistee,Getränke Alkoholfrei
Trinkwasser,Getränke Alkoholfrei
Kaffee,Kaffee & Tee
Instantkaffeepulver,Kaffee & Tee
Cappuccino Instantpulver,Getränke Alkoholfrei
Grüntee,Getränke Alkoholfrei
Schwarztee,Getränke Alkoholfrei
Malzgetränk,Bier & Wein
Weizenbier kristallklar,Bier & Wein
Hefeweizen Weizenbier,Gewürze & Backzutaten
Export hell,Bier & Wein
Pilsner Bier,Bier & Wein
Schwarzbier,Bier & Wein
Weißwein trocken,Bier & Wein
Weißwein halbtrocken,Bier & Wein
Rotwein halbtrocken,Bier & Wein
Rotwein trocken,Bier & Wein
Qualitätsschaumwein,Bier & Wein
Rosewein lieblich,Bier & Wein
Haselnussöl,Gewürze & Backzutaten
Mandelöl,Gewürze & Backzutaten
Kürbiskernöl,Gewürze & Backzutaten
Butter mild gesäuert,Gewürze & Backzutaten
Rinderfett Rindertalg,Gewürze & Backzutaten
Tahin,Gewürze & Backzutaten
Speisesalz Siedesalz Tafelsalz,Gewürze & Backzutaten
Nitritpökelsalz,Gewürze & Backzutaten
Nitritpökelsalz jodiert,Gewürze & Backzutaten
Apfelessig,Gewürze & Backzutaten
Senf mittelscharf,Gewürze & Backzutaten
Tomatenketchup,Gewürze & Backzutaten
Sojasauce Sojasoße,Kühlregal (Vegan & Käse)
Feinkostsauce Grillsauce,Gewürze & Backzutaten
Glutamat Mononatriumglutamat Natriumglutamat,Gewürze & Backzutaten
Basilikum getrocknet,Gewürze & Backzutaten
Pfeffer schwarz,Gewürze & Backzutaten
Backpulver,Gewürze & Backzutaten
Backhefe getrocknet,Gewürze & Backzutaten
Backhefe frisch,Gewürze & Backzutaten
Apfelpektin getrocknet,Gewürze & Backzutaten
Zucker weiß,Süßwaren & Snacks
Zucker braun,Süßwaren & Snacks
Traubenzucker,Süßwaren & Snacks
Milchzucker,Kühlregal (Molkerei)
Malzzucker,Süßwaren & Snacks
Fruchtzucker,Süßwaren & Snacks
Nuss-Nougat-Creme,Süßwaren & Snacks
Glukosesirup maltosehaltig,Süßwaren & Snacks
Sorbit Pulver,Süßwaren & Snacks
Xylit Pulver,Süßwaren & Snacks
Mannit Pulver,Süßwaren & Snacks
Tafelsüße Tabletten,Süßwaren & Snacks
Tafelsüße Flüssigsüße,Süßwaren & Snacks
Schokoladeneis,Tiefkühlware
Walnusseis,Tiefkühlware
Lakritze,Süßwaren & Snacks
Milchschokoladen-Riegel gefüllt,Kühlregal (Molkerei)
Schokoladen-Schaumkuss,Süßwaren & Snacks
Vollmilchschokoladen-Riegel gefüllt,Kühlregal (Molkerei)
Kakaopulver schwach entölt,Gewürze & Backzutaten
Aal,Fisch & Wurstwaren
Hornfisch Hornhecht,Fisch & Wurstwaren
Kabeljaurogen,Fisch & Wurstwaren
Makrele,Fisch & Wurstwaren
Dorsch Kabeljau,Fisch & Wurstwaren
Köhler Seelachs,Fisch & Wurstwaren
Lachs,Fisch & Wurstwaren
Forelle,Fisch & Wurstwaren
Matjesfilet nordische Art,Fisch & Wurstwaren
Heringsfilet,Trockensortiment & Konserven
Surimi,Fisch & Wurstwaren
Tintenfischringe paniert,Tiefkühlware
Schwein Hackfleisch,Fleischtheke
Rind Keule,Fleischtheke
Schwein Fettbacke,Fleischtheke
Schwein Maske,Fleischtheke
Schwein Wamme,Fleischtheke
Schwein Schwarte,Fleischtheke
Schwein Filet Lende,Fleischtheke
Schwein Kotelett,Fleischtheke
Schwein Bauch,Fleischtheke
Schwein Brustspitze,Fleischtheke
Schwein Dicker Bug,Fleischtheke
Schwein Dünner Bug,Fleischtheke
Schwein Restbug,Fleischtheke
Schwein Vordereisbein Vorderhaxe,Trockensortiment & Konserven
Schwein Rohschinken,Fisch & Wurstwaren
Schwein Nuss,Fleischtheke
Schwein Hüfte Schinkenspeck,Fisch & Wurstwaren
Schwein Unterschale,Fleischtheke
Schwein Oberschale,Fleischtheke
Schwein Hintereisbein Hinterhaxe,Trockensortiment & Konserven
Schaf Rücken,Fleischtheke
Hähnchen ganz,Fleischtheke
Streichmettwurst Streichmettwurst,Fisch & Wurstwaren
Geflügelsalami,Fisch & Wurstwaren
Wiener Würstchen,Fleischtheke
Lyoner Lyoner Wurst,Fisch & Wurstwaren
Bierwurst Blasenwurst,Fisch & Wurstwaren
Mettwurst,Fisch & Wurstwaren
Lachsschinken,Fisch & Wurstwaren
Lebkuchen schokoliert,Backwaren
Leinsamen,Backwaren
Walnuss,Backwaren
Vanilleeis,Tiefkühlware
Sesam,Backwaren
Sonnenblumenkern,Backwaren
Mohn,Backwaren
Oliven grün,Trockensortiment & Konserven
Bambussprossen,Backwaren
Buttermilch,Kühlregal (Molkerei)
Petersilienblatt,Obst & Gemüse
Rosenkohl,Obst & Gemüse
Speisezwiebel,Obst & Gemüse
Aubergine,Obst & Gemüse
Gurke,Obst & Gemüse
Pastinake,Obst & Gemüse
Bohne grün,Obst & Gemüse
Dicke Bohne unreif,Obst & Gemüse
Erbse grün,Obst & Gemüse
Zuckererbse,Obst & Gemüse
Vegetarische Wiener Würstchen,Kühlregal (Vegan & Käse)
Schwein Kamm,Fleischtheke
Roggenvollkornschrotbrot,Backwaren
Weizentortilla,Backwaren
Weizentoastbrot Buttertoastbrot,Backwaren
Amaranth gepufft,Backwaren
Amaranth,Backwaren
Quinoa tricolore,Backwaren
Quinoa gepufft,Backwaren
Hartweizen Vollkornmehl,Gewürze & Backzutaten
Einkorn Vollkornmehl,Gewürze & Backzutaten
Weizen gepufft,Backwaren
Emmer Vollkornmehl,Gewürze & Backzutaten
Weizen ganzes Korn,Backwaren
Hartweizen Grieß,Backwaren
Weizen Dunst,Backwaren
Weichweizen Grieß,Backwaren
Roggen Grieß,Backwaren
Roggen Vollkornmehl,Gewürze & Backzutaten
Roggen Backschrot,Backwaren
Dinkel Grieß,Backwaren
Dinkel ganzes Korn,Backwaren
Dinkel Vollkornschrot,Backwaren
Dinkel Mehl,Gewürze & Backzutaten
Grünkern ganzes Korn,Backwaren
Dinkel Kleie,Backwaren
Buchweizen Vollkornmehl,Gewürze & Backzutaten
Buchweizen Mehl,Gewürze & Backzutaten
Buchweizen Schrot,Backwaren
Buchweizen Grütze,Backwaren
Hirse Schrot,Backwaren
Hirse Flocken,Backwaren
Hirse Mehl,Gewürze & Backzutaten
Reis gepufft,Trockensortiment & Konserven
Popcorn,Backwaren
Tortillachips,Backwaren
Doppelkekse,Backwaren
Gänseei,Kühlregal (Molkerei)
Wachtelei,Kühlregal (Molkerei)
Putenei,Kühlregal (Molkerei)
Quitte,Obst & Gemüse
Birne,Obst & Gemüse
Apfelkompott Apfelmark,Trockensortiment & Konserven
Apfel geschält,Obst & Gemüse
Eberesche süß,Obst & Gemüse
Japanische Wollmispel Loquat,Obst & Gemüse
Mispel,Obst & Gemüse
Pflaume,Obst & Gemüse
Nektarine,Obst & Gemüse
Pfirsich getrocknet,Obst & Gemüse
Kochbanane,Obst & Gemüse
Cherimoya,Obst & Gemüse
Rosine Sultanine,Obst & Gemüse
Tamarillo,Obst & Gemüse
Kapstachelbeere Physalis,Obst & Gemüse
Mangostane,Obst & Gemüse
Rambutan,Obst & Gemüse
Honigmelone,Obst & Gemüse
Wassermelone,Obst & Gemüse
Guave,Obst & Gemüse
Maracujasaft Passionsfruchtsaft,Obst & Gemüse
Orange,Obst & Gemüse
Grapefruitsaft,Obst & Gemüse
Mandarinensaft,Obst & Gemüse
Apfelsaft,Obst & Gemüse
Endivie Escariol,Obst & Gemüse
Chicoree,Obst & Gemüse
Schnittsalat Pflücksalat,Obst & Gemüse
Portulak,Obst & Gemüse
Bleichsellerie,Obst & Gemüse
Eisbergsalat,Obst & Gemüse
Mangold,Obst & Gemüse
Gemüseamaranth,Obst & Gemüse
Neuseeländer Spinat,Obst & Gemüse
Artischocke,Obst & Gemüse
Romanesco,Obst & Gemüse
Grünkohl,Obst & Gemüse
Wirsing,Obst & Gemüse
Spitzkohl,Obst & Gemüse
Chinakohl,Obst & Gemüse
Kohlrabi,Obst & Gemüse
Frühlingszwiebel Lauchzwiebel,Obst & Gemüse
Knoblauch,Obst & Gemüse
Silberzwiebel,Obst & Gemüse
Perlzwiebel,Obst & Gemüse
Schalotte,Obst & Gemüse
Tomate geschält,Trockensortiment & Konserven
Kürbis Hokkaido,Obst & Gemüse
Chayote,Obst & Gemüse
Schwarzwurzel,Obst & Gemüse
Wurzelpetersilie,Obst & Gemüse
Meerrettich,Obst & Gemüse
Wachsbohne,Obst & Gemüse
Sojabohne unreif,Kühlregal (Vegan & Käse)
Gurke gesäuert,Trockensortiment & Konserven
Erdnussmus,Backwaren
Pekannuss,Backwaren
Cashewnussmus,Obst & Gemüse
Pinienkern,Backwaren
Mandel süß,Backwaren
Macadamianuss geröstet,Backwaren
Pistazie,Backwaren
Chia-Samen,Backwaren
Oliven geschwärzt,Trockensortiment & Konserven
Augenbohne reif,Backwaren
Dicke Bohne reif,Backwaren
Kidneybohne reif,Backwaren
Sojamehl vollfett,Kühlregal (Vegan & Käse)
Hefe Flocken Nährhefe,Gewürze & Backzutaten
Linse reif,Backwaren
Erbse reif,Obst & Gemüse
Sojabohne reif,Kühlregal (Vegan & Käse)
Kichererbse reif,Obst & Gemüse
Limabohne reif,Obst & Gemüse
Sojadrink,Kühlregal (Vegan & Käse)
Pommes frites,Tiefkühlware
Kartoffel ungeschält,Obst & Gemüse
Kartoffelchips energiereduziert,Süßwaren & Snacks
Kartoffelsticks,Obst & Gemüse
Edel-Reizker,Obst & Gemüse
Steinpilz,Obst & Gemüse
Hallimasch,Obst & Gemüse
Trüffel,Obst & Gemüse
Milch entrahmt,Kühlregal (Molkerei)
Sahneersatz,Kühlregal (Molkerei)
Vollmilch,Kühlregal (Molkerei)
Ziegenmilch,Kühlregal (Molkerei)
Schafmilch,Kühlregal (Molkerei)
Joghurt fettarm,Kühlregal (Molkerei)
Kondensmilch teilentrahmt,Kühlregal (Molkerei)
Joghurt,Kühlregal (Molkerei)
Dickmilch Sauermilch,Kühlregal (Molkerei)
Sahnejoghurt,Kühlregal (Molkerei)
Kefir,Kühlregal (Molkerei)
Schafjoghurt,Kühlregal (Molkerei)
Süßmolke,Kühlregal (Molkerei)
Kaffeesahne,Kühlregal (Molkerei)
Trinkjoghurt,Kühlregal (Molkerei)
Chester,Kühlregal (Molkerei)
Bergkäse,Kühlregal (Molkerei)
Provolone,Kühlregal (Molkerei)
Hartkäse,Kühlregal (Molkerei)
Jarlsberg,Kühlregal (Molkerei)
Tilsiter,Kühlregal (Molkerei)
Wilstermarschkäse,Kühlregal (Molkerei)
Fontina,Kühlregal (Molkerei)
Raclettekäse,Kühlregal (Molkerei)
Edamer,Kühlregal (Molkerei)
Danbo,Kühlregal (Molkerei)
Halloumi Grillkäse,Kühlregal (Molkerei)
Butterkäse,Kühlregal (Molkerei)
Esrom,Kühlregal (Molkerei)
Steinbuscher,Kühlregal (Molkerei)
Weißlacker,Kühlregal (Molkerei)
Trappistenkäse,Kühlregal (Molkerei)
Weinkäse,Kühlregal (Molkerei)
Münster,Kühlregal (Molkerei)
Romadur,Kühlregal (Molkerei)
Brotaufstrich,Backwaren
Speisequark Rahmstufe,Kühlregal (Molkerei)
Mozzarella,Kühlregal (Molkerei)
Sauerrahm Creme fraiche,Kühlregal (Molkerei)
Schmelzkäse,Kühlregal (Molkerei)
Kochkäse < .,Kühlregal (Molkerei)
Körniger Frischkäse,Kühlregal (Molkerei)
Schichtkäse,Kühlregal (Molkerei)
Speisequark Viertelfettstufe,Kühlregal (Molkerei)
Speisequark Halbfettstufe,Kühlregal (Molkerei)
Sauermilchkäse < .,Kühlregal (Molkerei)
Skyr,Kühlregal (Molkerei)
Schmelzkäse schnittfest,Kühlregal (Molkerei)
Schmelzkäsezubereitung,Kühlregal (Molkerei)
Limonade chininhaltig,Getränke Alkoholfrei
Zitronenlimonade,Getränke Alkoholfrei
Ginger Ale,Getränke Alkoholfrei
Natürliches Mineralwasser still,Getränke Alkoholfrei
Natürliches Mineralwasser,Getränke Alkoholfrei
Quellwasser,Getränke Alkoholfrei
Türkischer Mokka,Kaffee & Tee
Kaffee entkoffeiniert,Kaffee & Tee
Espresso,Kaffee & Tee
Kaffee koffeinreduziert,Kaffee & Tee
Instantkaffeepulver entkoffeiniert,Kaffee & Tee
Mate-Tee,Getränke Alkoholfrei
Kräutertee,Getränke Alkoholfrei
Roibusch- Rooibos- Rotbusch-Tee,Getränke Alkoholfrei
Schwarztee entkoffeiniert,Getränke Alkoholfrei
Lagerbier hell,Bier & Wein
Lagerbier dunkel,Bier & Wein
Bier kohlenhydratreduziert,Bier & Wein
Leichtbier,Bier & Wein
Kölsch,Gewürze & Backzutaten
Altbier,Bier & Wein
Bockbier,Bier & Wein
Stout,Bier & Wein
Doppelbock,Bier & Wein
Eiswein,Bier & Wein
Wein alkoholfrei,Getränke Alkoholfrei
Aperitif alkoholfrei,Getränke Alkoholfrei
Federweißer,Bier & Wein
Weißwein Beerenauslese Trockenbeerenauslese,Bier & Wein
Weißwein süß,Bier & Wein
Weißwein lieblich,Bier & Wein
Portwein,Bier & Wein
Rotwein süß,Bier & Wein
Rotwein lieblich,Bier & Wein
Sherry medium dry,Bier & Wein
Wermutwein trocken,Bier & Wein
Bitterlikör,Bier & Wein
Perlwein Perlwein,Bier & Wein
Sekt alkoholfrei,Getränke Alkoholfrei
Rosewein trocken,Bier & Wein
Rosewein süß,Bier & Wein
Rosewein halbtrocken,Bier & Wein
Walnussöl,Gewürze & Backzutaten
Olivenöl,Gewürze & Backzutaten
Erdnussöl,Gewürze & Backzutaten
Kokosöl,Gewürze & Backzutaten
Rapsöl Rüböl,Gewürze & Backzutaten
Maiskeimöl,Gewürze & Backzutaten
Sojaöl,Kühlregal (Vegan & Käse)
Sonnenblumenöl,Gewürze & Backzutaten
Halbfettbutter,Gewürze & Backzutaten
Butterschmalz,Gewürze & Backzutaten
Mischfett,Kühlregal (Molkerei)
Süßrahmbutter,Gewürze & Backzutaten
Sauerrahmbutter,Gewürze & Backzutaten
Schweinefett Schweineschmalz,Gewürze & Backzutaten
Hühnerfett,Gewürze & Backzutaten
Hammelfett Hammeltalg,Gewürze & Backzutaten
Speisesalz jodiert Jodsalz,Gewürze & Backzutaten
Steinsalz,Gewürze & Backzutaten
Meersalz,Gewürze & Backzutaten
Weinessig,Gewürze & Backzutaten
Senf extra scharf,Gewürze & Backzutaten
Senf scharf,Gewürze & Backzutaten
Senf süß,Gewürze & Backzutaten
Curry-Gewürzketchup,Gewürze & Backzutaten
Tomaten passiert Tomatenpüree,Gewürze & Backzutaten
Mayonnaise,Gewürze & Backzutaten
Bratensoße Instantpulver,Gewürze & Backzutaten
Bouillon Brühe Suppe,Gewürze & Backzutaten
Marshmallow,Süßwaren & Snacks
Orangeat,Gewürze & Backzutaten
Hartkaramelle,Süßwaren & Snacks
Invertzuckercreme,Süßwaren & Snacks
Puderzucker,Süßwaren & Snacks
Vanillezucker,Süßwaren & Snacks
Fondant,Süßwaren & Snacks
Vanillinzucker,Gewürze & Backzutaten
Melasse,Süßwaren & Snacks
Fruchtgummi,Süßwaren & Snacks
Milchschokolade gefüllt,Kühlregal (Molkerei)
Pralinen gefüllt,Süßwaren & Snacks
